------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 56512 connected with 10.0.0.4 port 5001 (icwnd/mss/irtt=14/1448/4365)
[ ID] Interval       Transfer     Bandwidth
[  1] 215.0000-220.0000 sec  39.5 GBytes  67.9 Gbits/sec
[  1] 220.0000-225.0000 sec  38.4 GBytes  65.9 Gbits/sec
[  1] 225.0000-230.0000 sec  38.0 GBytes  65.3 Gbits/sec
[  1] 230.0000-235.0000 sec  38.2 GBytes  65.7 Gbits/sec
[  1] 235.0000-240.0000 sec  38.0 GBytes  65.3 Gbits/sec
[  1] 240.0000-245.0000 sec  37.1 GBytes  63.7 Gbits/sec
[  1] 245.0000-250.0000 sec  37.8 GBytes  65.0 Gbits/sec
[  1] 250.0000-255.0000 sec  37.5 GBytes  64.5 Gbits/sec
[  1] 255.0000-260.0000 sec  37.6 GBytes  64.7 Gbits/sec
[  1] 260.0000-265.0000 sec  39.4 GBytes  67.6 Gbits/sec
[  1] 265.0000-270.0000 sec  41.7 GBytes  71.7 Gbits/sec
[  1] 270.0000-275.0000 sec  42.3 GBytes  72.7 Gbits/sec
[  1] 275.0000-280.0000 sec  43.3 GBytes  74.3 Gbits/sec
[  1] 280.0000-285.0000 sec  44.0 GBytes  75.6 Gbits/sec
[  1] 285.0000-290.0000 sec  44.3 GBytes  76.2 Gbits/sec
[  1] 290.0000-295.0000 sec  44.8 GBytes  76.9 Gbits/sec
[  1] 295.0000-300.0000 sec  45.0 GBytes  77.2 Gbits/sec
[  1] 300.0000-305.0000 sec  45.2 GBytes  77.6 Gbits/sec
[  1] 305.0000-310.0000 sec  45.5 GBytes  78.2 Gbits/sec
[  1] 310.0000-315.0000 sec  45.5 GBytes  78.2 Gbits/sec
[  1] 315.0000-320.0000 sec  45.7 GBytes  78.4 Gbits/sec
[  1] 320.0000-325.0000 sec  44.6 GBytes  76.7 Gbits/sec
[  1] 325.0000-330.0000 sec  45.2 GBytes  77.7 Gbits/sec
[  1] 330.0000-335.0000 sec  45.6 GBytes  78.4 Gbits/sec
[  1] 335.0000-340.0000 sec  45.1 GBytes  77.5 Gbits/sec
[  1] 340.0000-345.0000 sec  45.5 GBytes  78.2 Gbits/sec
[  1] 345.0000-350.0000 sec  45.1 GBytes  77.5 Gbits/sec
[  1] 350.0000-355.0000 sec  45.3 GBytes  77.8 Gbits/sec
[  1] 355.0000-360.0000 sec  45.4 GBytes  77.9 Gbits/sec
[  1] 0.0000-360.0144 sec  3.13 TBytes  76.4 Gbits/sec
