------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 55424 connected with 10.0.0.4 port 5001 (icwnd/mss/irtt=14/1448/5116)
[ ID] Interval       Transfer     Bandwidth
[  1] 305.0000-310.0000 sec  43.8 GBytes  75.3 Gbits/sec
[  1] 310.0000-315.0000 sec  43.7 GBytes  75.1 Gbits/sec
[  1] 315.0000-320.0000 sec  44.7 GBytes  76.7 Gbits/sec
[  1] 320.0000-325.0000 sec  44.2 GBytes  76.0 Gbits/sec
[  1] 325.0000-330.0000 sec  44.2 GBytes  75.9 Gbits/sec
[  1] 330.0000-335.0000 sec  43.6 GBytes  75.0 Gbits/sec
[  1] 335.0000-340.0000 sec  44.3 GBytes  76.2 Gbits/sec
[  1] 340.0000-345.0000 sec  44.1 GBytes  75.8 Gbits/sec
[  1] 345.0000-350.0000 sec  44.8 GBytes  77.0 Gbits/sec
[  1] 350.0000-355.0000 sec  44.4 GBytes  76.3 Gbits/sec
[  1] 355.0000-360.0000 sec  45.4 GBytes  77.9 Gbits/sec
[  1] 0.0000-360.0077 sec  3.00 TBytes  73.2 Gbits/sec
