------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 42388 connected with 10.0.0.4 port 5001 (icwnd/mss/irtt=14/1448/6177)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-5.0000 sec  42.8 MBytes  71.7 Mbits/sec
[  1] 5.0000-10.0000 sec  65.4 MBytes   110 Mbits/sec
[  1] 10.0000-15.0000 sec  58.2 MBytes  97.7 Mbits/sec
[  1] 15.0000-20.0000 sec  64.0 MBytes   107 Mbits/sec
[  1] 20.0000-25.0000 sec  26.2 MBytes  44.0 Mbits/sec
[  1] 25.0000-30.0000 sec  57.6 MBytes  96.7 Mbits/sec
[  1] 30.0000-35.0000 sec  57.6 MBytes  96.7 Mbits/sec
[  1] 35.0000-40.0000 sec  54.1 MBytes  90.8 Mbits/sec
[  1] 40.0000-45.0000 sec  60.0 MBytes   101 Mbits/sec
[  1] 45.0000-50.0000 sec  55.6 MBytes  93.3 Mbits/sec
[  1] 50.0000-55.0000 sec  54.1 MBytes  90.8 Mbits/sec
[  1] 55.0000-60.0000 sec  59.0 MBytes  99.0 Mbits/sec
[  1] 60.0000-65.0000 sec  60.9 MBytes   102 Mbits/sec
[  1] 65.0000-70.0000 sec  42.4 MBytes  71.1 Mbits/sec
[  1] 70.0000-75.0000 sec  50.9 MBytes  85.4 Mbits/sec
[  1] 75.0000-80.0000 sec  55.6 MBytes  93.3 Mbits/sec
[  1] 80.0000-85.0000 sec  60.2 MBytes   101 Mbits/sec
[  1] 85.0000-90.0000 sec  54.6 MBytes  91.6 Mbits/sec
[  1] 90.0000-95.0000 sec  55.8 MBytes  93.5 Mbits/sec
[  1] 95.0000-100.0000 sec  40.4 MBytes  67.7 Mbits/sec
[  1] 100.0000-105.0000 sec  61.9 MBytes   104 Mbits/sec
[  1] 105.0000-110.0000 sec  74.6 MBytes   125 Mbits/sec
[  1] 110.0000-115.0000 sec  59.5 MBytes  99.8 Mbits/sec
[  1] 115.0000-120.0000 sec  58.1 MBytes  97.5 Mbits/sec
[  1] 120.0000-125.0000 sec  62.5 MBytes   105 Mbits/sec
[  1] 125.0000-130.0000 sec  60.8 MBytes   102 Mbits/sec
[  1] 130.0000-135.0000 sec  60.8 MBytes   102 Mbits/sec
[  1] 135.0000-140.0000 sec  74.0 MBytes   124 Mbits/sec
[  1] 140.0000-145.0000 sec  56.6 MBytes  95.0 Mbits/sec
[  1] 145.0000-150.0000 sec  58.8 MBytes  98.6 Mbits/sec
[  1] 150.0000-155.0000 sec  59.2 MBytes  99.4 Mbits/sec
[  1] 155.0000-160.0000 sec  66.9 MBytes   112 Mbits/sec
[  1] 160.0000-165.0000 sec  64.5 MBytes   108 Mbits/sec
[  1] 165.0000-170.0000 sec  51.5 MBytes  86.4 Mbits/sec
[  1] 170.0000-175.0000 sec  52.2 MBytes  87.7 Mbits/sec
[  1] 175.0000-180.0000 sec  58.2 MBytes  97.7 Mbits/sec
[  1] 180.0000-185.0000 sec  50.1 MBytes  84.1 Mbits/sec
[  1] 185.0000-190.0000 sec  76.0 MBytes   128 Mbits/sec
[  1] 190.0000-195.0000 sec  76.9 MBytes   129 Mbits/sec
[  1] 195.0000-200.0000 sec  59.5 MBytes  99.8 Mbits/sec
