------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001
TCP congestion control set to reno
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 41742 connected with 10.0.0.4 port 5001 (icwnd/mss/irtt=14/1448/5329)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-5.0000 sec  70.1 MBytes   118 Mbits/sec
[  1] 5.0000-10.0000 sec  58.9 MBytes  98.8 Mbits/sec
[  1] 10.0000-15.0000 sec  52.4 MBytes  87.9 Mbits/sec
[  1] 15.0000-20.0000 sec  66.1 MBytes   111 Mbits/sec
[  1] 20.0000-25.0000 sec  54.2 MBytes  91.0 Mbits/sec
[  1] 25.0000-30.0000 sec  63.2 MBytes   106 Mbits/sec
[  1] 30.0000-35.0000 sec  54.2 MBytes  91.0 Mbits/sec
[  1] 35.0000-40.0000 sec  75.4 MBytes   126 Mbits/sec
[  1] 40.0000-45.0000 sec  51.1 MBytes  85.8 Mbits/sec
[  1] 45.0000-50.0000 sec  67.8 MBytes   114 Mbits/sec
[  1] 50.0000-55.0000 sec  52.9 MBytes  88.7 Mbits/sec
[  1] 55.0000-60.0000 sec  64.4 MBytes   108 Mbits/sec
[  1] 60.0000-65.0000 sec  67.5 MBytes   113 Mbits/sec
[  1] 65.0000-70.0000 sec  47.8 MBytes  80.1 Mbits/sec
[  1] 70.0000-75.0000 sec  52.0 MBytes  87.2 Mbits/sec
[  1] 75.0000-80.0000 sec  39.8 MBytes  66.7 Mbits/sec
[  1] 80.0000-85.0000 sec  44.0 MBytes  73.8 Mbits/sec
[  1] 85.0000-90.0000 sec  59.0 MBytes  99.0 Mbits/sec
[  1] 90.0000-95.0000 sec  60.5 MBytes   102 Mbits/sec
[  1] 95.0000-100.0000 sec  79.4 MBytes   133 Mbits/sec
[  1] 100.0000-105.0000 sec  58.6 MBytes  98.4 Mbits/sec
[  1] 105.0000-110.0000 sec  65.6 MBytes   110 Mbits/sec
[  1] 110.0000-115.0000 sec  70.1 MBytes   118 Mbits/sec
[  1] 115.0000-120.0000 sec  61.5 MBytes   103 Mbits/sec
[  1] 120.0000-125.0000 sec  75.9 MBytes   127 Mbits/sec
[  1] 125.0000-130.0000 sec  65.9 MBytes   111 Mbits/sec
[  1] 130.0000-135.0000 sec  66.1 MBytes   111 Mbits/sec
[  1] 135.0000-140.0000 sec  52.0 MBytes  87.2 Mbits/sec
